system:index,date,temperature_celsius,.geo
A20190813_0300,2019-08-13,29.273687136051414,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190813_0600,2019-08-13,30.840702022552847,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190813_0900,2019-08-13,30.293747034722312,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190813_1200,2019-08-13,25.796158489196436,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190813_1500,2019-08-13,24.381392573645986,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190813_1800,2019-08-13,24.196703805554474,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190813_2100,2019-08-13,24.436575873029796,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190814_0000,2019-08-14,26.64008879164271,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190814_0300,2019-08-14,29.649748938200236,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190814_0600,2019-08-14,31.64137654019367,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190814_0900,2019-08-14,29.75973110172373,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190814_1200,2019-08-14,25.48728626684335,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190814_1500,2019-08-14,24.486512356536288,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190814_1800,2019-08-14,23.943178848944566,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190814_2100,2019-08-14,23.534071390611945,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190815_0000,2019-08-15,25.890500389199378,"{""type"":""MultiPoint"",""coordinates"":[]}"
A20190815_0300,2019-08-15,29.615196571738384,"{""type"":""MultiPoint"",""coordinates"":[]}"
