date,mean_pressure,.geo
2019-12-28,100328.12824708383,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-29,100349.95497664683,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-30,100316.29725423997,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-12-31,100393.02326163421,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-01,100554.43526199323,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-02,100424.7931704656,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-03,100168.99245036811,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-04,100049.41543860009,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-05,100124.36009361953,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-06,100170.52114725404,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-07,100098.18751877049,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-08,100153.77353866117,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-09,100118.14478240004,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-10,100136.67418350399,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-11,100157.79160323524,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-12,100024.12406837814,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-13,100122.75113658722,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-14,100288.89448120871,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-15,100375.05227265664,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-16,100365.39659731495,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-17,100370.58906632417,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-18,100385.48367525879,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-19,100362.6359934825,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-20,100456.78699647544,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-21,100504.62973319106,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-22,100393.20149094005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-23,100334.60444692988,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-24,100349.94564748359,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-25,100297.68182806717,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-26,100247.87156995747,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-27,100294.947917206,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-28,100316.77100485697,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-29,100245.89839583263,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-30,100286.22380326077,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-01-31,100374.30696658068,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-01,100428.85156360568,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-02,100459.06962093042,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-03,100407.00960187512,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-04,100281.58916815965,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-05,100242.94553011391,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-06,100237.79165501596,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-07,100305.43560547217,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-08,100423.64627023331,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-09,100377.86081682389,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-10,100418.70834670999,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-11,100504.57794382132,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-12,100480.63969925742,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-13,100370.06880797283,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-14,100341.1545465215,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-15,100432.69042366995,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-16,100398.14158062429,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-17,100418.32389197845,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-18,100375.9954243086,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-19,100309.93681886746,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-20,100411.51837525843,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-21,100505.20694172593,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-22,100427.58870903708,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-23,100349.40135423889,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-24,100316.08354649734,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-25,100291.81068616381,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-26,100247.93746957877,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-27,100202.68522833576,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-28,100127.66178892096,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-02-29,100115.42839068909,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-01,100188.73461680523,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-02,100247.57667864523,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-03,100259.32595285188,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-04,100210.56559238891,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-05,100243.49301650422,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-06,100414.11826030516,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-07,100383.40269363405,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-08,100241.79888015517,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-09,100172.39142441908,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-10,100218.14342747067,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-11,100328.1365406323,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-12,100538.03541284779,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-13,100500.01625052208,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-14,100330.93809439967,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-15,100354.27292937448,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-16,100444.42080653676,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-17,100400.73903197629,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-18,100380.60544629814,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-19,100383.90553639665,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-20,100444.880636765,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-21,100452.31459906169,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-22,100425.52759395611,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-23,100273.93077087711,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-24,100244.01853923078,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-25,100216.8455863823,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-26,100236.08694676588,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-27,100280.05465457066,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-28,100238.32616170084,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-29,100204.9691214189,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-30,100255.97313270021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-03-31,100297.94933599827,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-01,100292.73656030899,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-02,100304.812450161,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-03,100326.89062699565,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-04,100391.41814500674,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-05,100393.80801600366,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-06,100316.22842037672,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-07,100349.55443536551,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-08,100480.70282860917,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-09,100482.42374423073,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-10,100464.49537080183,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-11,100397.96566419155,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-12,100339.66190629062,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-13,100388.09164673105,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-14,100435.89674747908,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-15,100386.06423228147,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-16,100343.89939174886,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-17,100408.70651712385,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-18,100431.10790070519,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-19,100414.19411045866,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-20,100344.16813378756,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-21,100289.08845185941,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-22,100286.36468139308,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-23,100251.67339816278,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-24,100257.98711004788,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-25,100257.90279374347,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-26,100300.15021592562,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-27,100343.33549949422,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-28,100345.62678859301,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-29,100362.34289723588,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-04-30,100314.54749674641,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-01,100207.73222798712,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-02,100242.10275542572,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-03,100321.4446394852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-04,100325.96922325435,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-05,100309.12685590796,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-06,100326.62766713955,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-07,100251.39240134903,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-08,100264.47534891585,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-09,100319.28798030947,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-10,100323.40113158172,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-11,100319.41683668006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-12,100307.32133055784,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-13,100261.83333160725,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-14,100172.01342501972,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-15,100078.75920402644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-16,100036.45989754313,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-17,100033.32512608604,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-18,100151.75730022124,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-19,100174.61746115578,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-20,100201.25715868719,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-21,100295.9225601778,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-22,100316.61546414523,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-23,100402.52855707788,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-24,100472.9401794375,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-25,100497.64178429519,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-26,100489.39082548855,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-27,100483.59896852761,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-28,100524.00996088822,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-29,100513.64604585007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-30,100503.00019331474,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-05-31,100524.84305257812,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-01,100424.93628379985,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-02,100442.61778392238,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-03,100447.97966225146,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-04,100413.61647904775,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-05,100382.94572860675,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-06,100349.20717646526,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-07,100287.43663763489,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-08,100363.39519405691,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-09,100389.61180842505,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-10,100308.70753547839,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-11,100210.88549379833,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-12,100194.38617385211,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-13,100297.20831046347,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-14,100399.20914413339,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-15,100351.9275380329,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-16,100334.52018240625,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-17,100352.87383104974,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-18,100394.04504233936,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-19,100359.63748304173,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-20,100238.04592433796,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-21,100199.79656210403,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-22,100234.13844616352,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-23,100325.44706627585,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-24,100304.4791893207,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-25,100248.24725648378,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-26,100337.4638570437,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020-06-27,100415.38750979517,"{""type"":""MultiPoint"",""coordinates"":[]}"
